id,img,name,phone,email,gender,dob,address,company,fb,insta,linkd,extra,category
1,../images/Person.jpg,"talha ",03331234567,talha@gmail.com,male,,"talha house lahore","software company abc lahore",https://web.facebook.com/talha,https://www.instagram.com/talha,https://www.linkedin.com/in/talha,xyz,friends
3,../images/Person.jpg,Ahmed,03331234567,Ahmed@gmail.com,male,9/7/2007,"Ahmed house karachi","TT bank private LTD",https://web.facebook.com/Ahmad,https://www.instagram.com/ahmad,https://www.linkedin.com/in/ahmad,,friends
4,../images/Person.jpg,Muhammad,03331234567,Muhammad@gmail.com,male,7/8/2000,"Muhammad house islamabad","khan food companty",https://web.facebook.com/muhammad,https://www.instagram.com/muhammad,https://www.linkedin.com/in/muhammad,,friends
5,Smith.jpg,Hamza,03331234567,Hamza@gmail.com,male,1/9/1998,"Hamza house islamabad","now paints LTD",https://web.facebook.com/hamza,https://www.instagram.com/hamza,https://www.linkedin.com/in/hamza,,friends
6,../images/Person.jpg,Waqas,03331234567,Waqas@gmail.com,male,2/10/1995,"Waqas house karachi","business man",https://web.facebook.com/waqas,https://www.instagram.com/waqas,https://www.linkedin.com/in/waqas,,friends
7,../images/Person.jpg,usman,03331234567,usman@gmail.com,male,8/11/1993,"usman house lahore",farmar,https://web.facebook.com/usman,https://www.instagram.com/usman,https://www.linkedin.com/in/usman,,friends
8,../images/Person.jpg,Hassan,03331234567,Hassan@gmail.com,male,5/12/2000,"Hassan house karachi","cool fans LTD",https://web.facebook.com/hasan,https://www.instagram.com/hasan,https://www.linkedin.com/in/hasan,,friends
9,../images/Person.jpg,umair,03331234567,umair@gmail.com,male,3/13/2001,"umair house lahore","rahbar kings LTD",https://web.facebook.com/umar,https://www.instagram.com/umar,https://www.linkedin.com/in/umar,,friends
10,../images/Person.jpg,Bilal,03331234567,Bilal@gmail.com,male,7/14/2003,"Bilal house karachi","software company abc lahore",https://web.facebook.com/bilal,https://www.instagram.com/bilal,https://www.linkedin.com/in/bilal,,friends
11,../images/Person.jpg,Ayan,03331234567,Ayan@gmail.com,male,9/15/2000,"Ayan house karachi","oil com karachi",https://web.facebook.com/ayan,https://www.instagram.com/ayan,https://www.linkedin.com/in/ayan,,friends
12,../images/Person.jpg,Rashid,03331234567,Rashid@gmail.com,male,4/16/1990,"Rashid house karachi","TT bank private LTD",https://web.facebook.com/rashid,https://www.instagram.com/rashid,https://www.linkedin.com/in/rashid,,friends
13,../images/Person.jpg,Salman,03331234567,Salman@gmail.com,male,6/17/2000,"Salman house karachi","khan food companty",https://web.facebook.com/salman,https://www.instagram.com/salman,https://www.linkedin.com/in/salman,,friends
14,../images/Person.jpg,zeeshan,03331234567,zeeshan@gmail.com,male,12/18/2003,"zeeshan house lahore","now paints LTD",https://web.facebook.com/zeeshan,https://www.instagram.com/zeeshan,https://www.linkedin.com/in/zeeshan,,friends
15,../images/Person.jpg,saad,03331234567,saad@gmail.com,male,1/19/2004,"saad house lahore","business man",https://web.facebook.com/saad,https://www.instagram.com/saad,https://www.linkedin.com/in/saad,,friends
16,../images/Person.jpg,Ibrahim,03331234567,Ibrahim@gmail.com,male,10/20/1994,"Ibrahim house karachi",farmar,https://web.facebook.com/ibrahim,https://www.instagram.com/ibrahim,https://www.linkedin.com/in/ibrahim,,friends
17,../images/Person.jpg,Zahid,03331234567,Zahid@gmail.com,male,6/21/1991,"Zahid house karachi","cool fans LTD",https://web.facebook.com/zahid,https://www.instagram.com/zahid,https://www.linkedin.com/in/zahid,,friends
18,../images/Person.jpg,ismail,03331234567,ismail@gmail.com,male,2/22/2005,"ismail house lahore","rahbar kings LTD",https://web.facebook.com/ismail,https://www.instagram.com/ismail,https://www.linkedin.com/in/ismail,,friends
19,../images/Person.jpg,Hammad,03331234567,Hammad@gmail.com,male,11/23/2007,"Hammad house karachi","software company abc lahore",https://web.facebook.com/hammad,https://www.instagram.com/hammad,https://www.linkedin.com/in/hammad,,friends
20,../images/Person.jpg,Faraz,03331234567,Faraz@gmail.com,male,12/24/2008,"Faraz house karachi","oil com karachi",https://web.facebook.com/faraz,https://www.instagram.com/faraz,https://www.linkedin.com/in/faraz,,friends
